prepared fineweb: rows=1170 coverage=0.937236
evaluated fineweb rows 272/1170
evaluated fineweb rows 276/1170
evaluated fineweb rows 280/1170
evaluated fineweb rows 284/1170
evaluated fineweb rows 288/1170
evaluated fineweb rows 292/1170
evaluated fineweb rows 296/1170
evaluated fineweb rows 300/1170
evaluated fineweb rows 304/1170
evaluated fineweb rows 308/1170
evaluated fineweb rows 312/1170
evaluated fineweb rows 316/1170
evaluated fineweb rows 320/1170
evaluated fineweb rows 324/1170
evaluated fineweb rows 328/1170
evaluated fineweb rows 332/1170
evaluated fineweb rows 336/1170
evaluated fineweb rows 340/1170
evaluated fineweb rows 344/1170
evaluated fineweb rows 348/1170
evaluated fineweb rows 352/1170
evaluated fineweb rows 356/1170
evaluated fineweb rows 360/1170
evaluated fineweb rows 364/1170
evaluated fineweb rows 368/1170
evaluated fineweb rows 372/1170
evaluated fineweb rows 376/1170
evaluated fineweb rows 380/1170
evaluated fineweb rows 384/1170
evaluated fineweb rows 388/1170
evaluated fineweb rows 392/1170
evaluated fineweb rows 396/1170
evaluated fineweb rows 400/1170
evaluated fineweb rows 404/1170
evaluated fineweb rows 408/1170
evaluated fineweb rows 412/1170
evaluated fineweb rows 416/1170
evaluated fineweb rows 420/1170
evaluated fineweb rows 424/1170
evaluated fineweb rows 428/1170
evaluated fineweb rows 432/1170
evaluated fineweb rows 436/1170
evaluated fineweb rows 440/1170
evaluated fineweb rows 444/1170
evaluated fineweb rows 448/1170
evaluated fineweb rows 452/1170
evaluated fineweb rows 456/1170
evaluated fineweb rows 460/1170
evaluated fineweb rows 464/1170
evaluated fineweb rows 468/1170
evaluated fineweb rows 472/1170
evaluated fineweb rows 476/1170
evaluated fineweb rows 480/1170
evaluated fineweb rows 484/1170
evaluated fineweb rows 488/1170
evaluated fineweb rows 492/1170
evaluated fineweb rows 496/1170
evaluated fineweb rows 500/1170
evaluated fineweb rows 504/1170
evaluated fineweb rows 508/1170
evaluated fineweb rows 512/1170
evaluated fineweb rows 516/1170
evaluated fineweb rows 520/1170
evaluated fineweb rows 524/1170
evaluated fineweb rows 528/1170
evaluated fineweb rows 532/1170
evaluated fineweb rows 536/1170
evaluated fineweb rows 540/1170
evaluated fineweb rows 544/1170
evaluated fineweb rows 548/1170
evaluated fineweb rows 552/1170
evaluated fineweb rows 556/1170
evaluated fineweb rows 560/1170
evaluated fineweb rows 564/1170
evaluated fineweb rows 568/1170
evaluated fineweb rows 572/1170
evaluated fineweb rows 576/1170
evaluated fineweb rows 580/1170
evaluated fineweb rows 584/1170
evaluated fineweb rows 588/1170
evaluated fineweb rows 592/1170
evaluated fineweb rows 596/1170
evaluated fineweb rows 600/1170
evaluated fineweb rows 604/1170
evaluated fineweb rows 608/1170
evaluated fineweb rows 612/1170
evaluated fineweb rows 616/1170
evaluated fineweb rows 620/1170
evaluated fineweb rows 624/1170
evaluated fineweb rows 628/1170
evaluated fineweb rows 632/1170
evaluated fineweb rows 636/1170
evaluated fineweb rows 640/1170
evaluated fineweb rows 644/1170
evaluated fineweb rows 648/1170
evaluated fineweb rows 652/1170
evaluated fineweb rows 656/1170
evaluated fineweb rows 660/1170
evaluated fineweb rows 664/1170
evaluated fineweb rows 668/1170
evaluated fineweb rows 672/1170
evaluated fineweb rows 676/1170
evaluated fineweb rows 680/1170
evaluated fineweb rows 684/1170
evaluated fineweb rows 688/1170
evaluated fineweb rows 692/1170
evaluated fineweb rows 696/1170
evaluated fineweb rows 700/1170
evaluated fineweb rows 704/1170
evaluated fineweb rows 708/1170
evaluated fineweb rows 712/1170
evaluated fineweb rows 716/1170
evaluated fineweb rows 720/1170
evaluated fineweb rows 724/1170
evaluated fineweb rows 728/1170
evaluated fineweb rows 732/1170
evaluated fineweb rows 736/1170
evaluated fineweb rows 740/1170
evaluated fineweb rows 744/1170
evaluated fineweb rows 748/1170
evaluated fineweb rows 752/1170
evaluated fineweb rows 756/1170
evaluated fineweb rows 760/1170
evaluated fineweb rows 764/1170
evaluated fineweb rows 768/1170
evaluated fineweb rows 772/1170
evaluated fineweb rows 776/1170
evaluated fineweb rows 780/1170
evaluated fineweb rows 784/1170
evaluated fineweb rows 788/1170
evaluated fineweb rows 792/1170
evaluated fineweb rows 796/1170
evaluated fineweb rows 800/1170
evaluated fineweb rows 804/1170
evaluated fineweb rows 808/1170
evaluated fineweb rows 812/1170
evaluated fineweb rows 816/1170
evaluated fineweb rows 820/1170
evaluated fineweb rows 824/1170
evaluated fineweb rows 828/1170
evaluated fineweb rows 832/1170
evaluated fineweb rows 836/1170
evaluated fineweb rows 840/1170
evaluated fineweb rows 844/1170
evaluated fineweb rows 848/1170
evaluated fineweb rows 852/1170
evaluated fineweb rows 856/1170
evaluated fineweb rows 860/1170
evaluated fineweb rows 864/1170
evaluated fineweb rows 868/1170
evaluated fineweb rows 872/1170
evaluated fineweb rows 876/1170
evaluated fineweb rows 880/1170
evaluated fineweb rows 884/1170
evaluated fineweb rows 888/1170
evaluated fineweb rows 892/1170
evaluated fineweb rows 896/1170
evaluated fineweb rows 900/1170
evaluated fineweb rows 904/1170
evaluated fineweb rows 908/1170
evaluated fineweb rows 912/1170
evaluated fineweb rows 916/1170
evaluated fineweb rows 920/1170
evaluated fineweb rows 924/1170
evaluated fineweb rows 928/1170
evaluated fineweb rows 932/1170
evaluated fineweb rows 936/1170
evaluated fineweb rows 940/1170
evaluated fineweb rows 944/1170
evaluated fineweb rows 948/1170
evaluated fineweb rows 952/1170
evaluated fineweb rows 956/1170
evaluated fineweb rows 960/1170
evaluated fineweb rows 964/1170
evaluated fineweb rows 968/1170
evaluated fineweb rows 972/1170
evaluated fineweb rows 976/1170
evaluated fineweb rows 980/1170
evaluated fineweb rows 984/1170
evaluated fineweb rows 988/1170
evaluated fineweb rows 992/1170
evaluated fineweb rows 996/1170
evaluated fineweb rows 1000/1170
evaluated fineweb rows 1004/1170
evaluated fineweb rows 1008/1170
evaluated fineweb rows 1012/1170
evaluated fineweb rows 1016/1170
evaluated fineweb rows 1020/1170
evaluated fineweb rows 1024/1170
evaluated fineweb rows 1028/1170
evaluated fineweb rows 1032/1170
evaluated fineweb rows 1036/1170
evaluated fineweb rows 1040/1170
evaluated fineweb rows 1044/1170
evaluated fineweb rows 1048/1170
evaluated fineweb rows 1052/1170
evaluated fineweb rows 1056/1170
evaluated fineweb rows 1060/1170
evaluated fineweb rows 1064/1170
evaluated fineweb rows 1068/1170
evaluated fineweb rows 1072/1170
evaluated fineweb rows 1076/1170
evaluated fineweb rows 1080/1170
evaluated fineweb rows 1084/1170
evaluated fineweb rows 1088/1170
evaluated fineweb rows 1092/1170
evaluated fineweb rows 1096/1170
evaluated fineweb rows 1100/1170
evaluated fineweb rows 1104/1170
evaluated fineweb rows 1108/1170
evaluated fineweb rows 1112/1170
evaluated fineweb rows 1116/1170
evaluated fineweb rows 1120/1170
evaluated fineweb rows 1124/1170
evaluated fineweb rows 1128/1170
evaluated fineweb rows 1132/1170
evaluated fineweb rows 1136/1170
evaluated fineweb rows 1140/1170
evaluated fineweb rows 1144/1170
evaluated fineweb rows 1148/1170
evaluated fineweb rows 1152/1170
evaluated fineweb rows 1156/1170
evaluated fineweb rows 1160/1170
evaluated fineweb rows 1164/1170
evaluated fineweb rows 1168/1170
evaluated fineweb rows 1170/1170
evaluated code rows 4/192
evaluated code rows 8/192
evaluated code rows 12/192
evaluated code rows 16/192
evaluated code rows 20/192
evaluated code rows 24/192
evaluated code rows 28/192
evaluated code rows 32/192
evaluated code rows 36/192
evaluated code rows 40/192
evaluated code rows 44/192
evaluated code rows 48/192
evaluated code rows 52/192
evaluated code rows 56/192
evaluated code rows 60/192
evaluated code rows 64/192
evaluated code rows 68/192
evaluated code rows 72/192
evaluated code rows 76/192
evaluated code rows 80/192
evaluated code rows 84/192
evaluated code rows 88/192
evaluated code rows 92/192
evaluated code rows 96/192
evaluated code rows 100/192
evaluated code rows 104/192
evaluated code rows 108/192
evaluated code rows 112/192
evaluated code rows 116/192
evaluated code rows 120/192
evaluated code rows 124/192
evaluated code rows 128/192
evaluated code rows 132/192
evaluated code rows 136/192
evaluated code rows 140/192
evaluated code rows 144/192
evaluated code rows 148/192
evaluated code rows 152/192
evaluated code rows 156/192
evaluated code rows 160/192
evaluated code rows 164/192
evaluated code rows 168/192
evaluated code rows 172/192
evaluated code rows 176/192
evaluated code rows 180/192
evaluated code rows 184/192
evaluated code rows 188/192
evaluated code rows 192/192
{
  "coverage": {
    "fineweb": {
      "wave_A": 0.9377868175506592,
      "wave_B": 0.9367095828056335,
      "pooled": 0.9372362494468689
    },
    "code": 0.8642374873161316
  },
  "integrity": {
    "call_counts": {
      "candidate_original_down_calls": 0,
      "poison_canary_calls": 1,
      "mlp1_teacher_calls": 2968,
      "c512_proxy_calls": 1364
    },
    "observed_hashes": {
      "source_closure_sha256": "0f6843fdf5f66464222e0c6d94394a02343abc846c0b38327b78b9becb7e0f70",
      "row_receipt_sha256": "9153f4e2c05725264c5ea9e8d17dd640885c48e738d4e97776ac628d05b5722f",
      "row_tensor_sha256": "5619897eb7b1d84bbdb598f9c0228c46f6cfd5aa389d29af95284e3a39c298fe",
      "c512_program_sha256": "3ecf43b485d343bc5413e817dbd4236e5ce6cdaa7a3e0e653214e812b84ce470",
      "model_checkpoint_sha256": "680d6c26cf05af2e9b5eaac1d52fa1c9e4ea443f60a7c74ad211740e317d6de3",
      "code_register_sha256": "6750a72b4232d4d4687946bb379457210555a660c9ef2e0d4967a63ddfaf2d9d"
    },
    "parent_replay": {
      "live": {
        "raw_logits_max_abs": 0.0,
        "capped_logits_max_abs": 0.0,
        "ce_abs": 0.0,
        "passes": true
      },
      "mlp2_omit": {
        "raw_logits_max_abs": 0.0,
        "capped_logits_max_abs": 0.0,
        "ce_abs": 0.0,
        "passes": true
      }
    }
  },
  "decisions": {
    "fresh_observational_equivalence": false,
    "downstream_null_on_registered_fineweb_backgrounds": false,
    "powered_cancellation_or_interface_break": false,
    "positive_control_each_background": {
      "live": false,
      "mlp2_omit": true
    },
    "code_positive_control_each_background": {
      "live": false,
      "mlp2_omit": false
    },
    "powered_shuffle_harm_each_background": {
      "live": false,
      "mlp2_omit": false
    },
    "conditional_alignment_null": false,
    "mlp1_repair_diagnostics": {
      "live": {
        "lcb_positive_each_wave": false,
        "pointwise_no_free_rider_each_wave": true
      },
      "mlp2_omit": {
        "lcb_positive_each_wave": true,
        "pointwise_no_free_rider_each_wave": true
      }
    },
    "mlp1_repair_license_live": false,
    "broad_code_register_equivalence": false
  },
  "runtime_s": 374.4369068145752
}
wrote /workspace/tensor_language/basis_aligned/bilinear_quotient/mlp0_c512_mlp1_interchange_v3_results.json
